date,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,PM2.5
2013-03-01 00:00:00,6,13.0,7.0,300.0,85.0,-2.3,1020.8,-19.7,3
2013-03-01 01:00:00,3,6.0,6.0,300.0,85.0,-2.5,1021.3,-19.0,3
2013-03-01 02:00:00,3,22.0,13.0,400.0,74.0,-3.0,1021.3,-19.9,3
2013-03-01 03:00:00,6,12.0,8.0,300.0,81.0,-3.6,1021.8,-19.1,3
2013-03-01 04:00:00,3,14.0,8.0,300.0,81.0,-3.5,1022.3,-19.4,3
2013-03-01 05:00:00,3,10.0,17.0,400.0,71.0,-4.5,1022.6,-19.5,3
2013-03-01 06:00:00,6,12.0,22.0,500.0,65.0,-4.5,1023.4,-19.5,4
2013-03-01 07:00:00,6,25.0,39.0,600.0,48.0,-2.1,1024.6,-20.0,3
2013-03-01 08:00:00,25,13.0,42.0,700.0,46.0,-0.2,1025.2,-20.5,9
2013-03-01 09:00:00,29,5.0,18.0,500.0,73.0,0.6,1025.3,-20.4,11
2013-03-01 10:00:00,10,3.0,10.0,300.0,83.0,2.0,1025.1,-21.3,9
2013-03-01 11:00:00,3,4.0,9.0,300.0,81.0,3.6,1024.8,-20.7,3
2013-03-01 12:00:00,6,4.0,8.0,300.0,90.0,4.8,1023.8,-19.7,3
2013-03-01 13:00:00,101,5.0,9.0,300.0,89.0,5.8,1022.8,-20.6,3
2013-03-01 14:00:00,60,5.0,6.0,300.0,94.0,5.9,1022.6,-20.5,9
2013-03-01 15:00:00,34,6.0,7.0,300.0,94.0,6.0,1022.6,-20.4,3
2013-03-01 16:00:00,28,5.0,9.0,300.0,92.0,5.4,1022.8,-20.0,3
2013-03-01 17:00:00,25,19.0,12.0,300.0,88.0,3.5,1023.4,-20.8,6
2013-03-01 18:00:00,17,40.0,22.0,600.0,77.0,2.7,1024.2,-20.0,4
2013-03-01 19:00:00,19,37.0,22.0,600.0,75.0,2.0,1025.1,-19.3,7
2013-03-01 20:00:00,21,23.0,14.0,300.0,80.0,1.1,1025.9,-18.3,8
2013-03-01 21:00:00,16,34.0,19.0,300.0,74.0,1.6,1026.7,-17.4,7
2013-03-01 22:00:00,13,25.0,16.0,300.0,76.0,0.4,1027.2,-17.4,5
2013-03-01 23:00:00,12,43.0,25.0,500.0,65.0,0.3,1027.0,-16.6,7
2013-03-02 00:00:00,13,23.0,16.0,400.0,69.0,-0.5,1027.4,-16.4,11
2013-03-02 01:00:00,10,24.0,18.0,400.0,67.0,-1.8,1027.9,-16.7,12
2013-03-02 02:00:00,9,23.5,56.0,800.0,33.0,-1.7,1027.7,-17.4,13
2013-03-02 03:00:00,24,23.0,42.0,600.0,39.0,-2.5,1027.7,-17.4,14
2013-03-02 04:00:00,18,24.0,49.5,400.0,45.0,-3.4,1027.5,-17.0,14
2013-03-02 05:00:00,13,37.0,57.0,600.0,28.0,-3.5,1026.9,-16.8,13
2013-03-02 06:00:00,15,38.0,66.0,900.0,16.0,-3.5,1026.1,-15.8,16
2013-03-02 07:00:00,25,39.0,63.0,900.0,18.0,-3.3,1026.7,-14.4,19
2013-03-02 08:00:00,26,41.0,66.0,1100.0,14.0,-2.0,1026.4,-15.1,22
2013-03-02 09:00:00,43,53.0,69.0,1600.0,13.0,-0.2,1026.3,-16.6,29
2013-03-02 10:00:00,70,40.0,54.0,900.0,29.0,0.6,1025.8,-17.2,46
2013-03-02 11:00:00,33,40.0,61.0,800.0,28.0,1.3,1025.4,-17.1,30
2013-03-02 12:00:00,41,42.0,51.0,700.0,38.0,1.9,1024.2,-17.1,31
2013-03-02 13:00:00,34,42.0,50.0,700.0,42.0,2.3,1022.6,-17.3,30
2013-03-02 14:00:00,32,50.0,59.0,900.0,36.0,3.0,1021.9,-17.3,30
2013-03-02 15:00:00,41,49.0,58.0,900.0,38.0,2.9,1020.9,-16.8,38
2013-03-02 16:00:00,49,49.0,62.0,900.0,35.0,2.5,1020.6,-17.1,42
2013-03-02 17:00:00,50,50.0,66.0,900.0,31.0,2.1,1020.2,-16.4,44
2013-03-02 18:00:00,55,50.0,73.0,900.0,23.0,1.5,1020.4,-16.0,44
2013-03-02 19:00:00,60,34.0,76.0,1000.0,18.0,0.3,1020.0,-15.3,47
2013-03-02 20:00:00,65,43.0,84.0,1300.0,12.0,0.0,1019.9,-15.2,52
2013-03-02 21:00:00,76,51.0,82.0,1700.0,9.0,-1.2,1019.7,-13.7,69
2013-03-02 22:00:00,83,49.0,82.0,1600.0,8.0,-2.1,1019.1,-13.3,72
2013-03-02 23:00:00,71,68.0,87.0,2000.0,9.0,-2.2,1018.2,-13.4,62
2013-03-03 00:00:00,87,41.0,76.0,1500.0,7.0,-2.4,1017.4,-13.0,73
2013-03-03 01:00:00,60,36.0,73.0,1399.0,7.0,-3.8,1016.5,-12.2,50
2013-03-03 02:00:00,62,37.0,75.0,1500.0,7.0,-3.8,1015.1,-12.7,60
2013-03-03 03:00:00,63,41.0,74.0,1600.0,7.0,-4.0,1014.1,-13.4,60
2013-03-03 04:00:00,66,31.0,69.0,1200.0,6.0,-4.8,1013.6,-13.2,64
2013-03-03 05:00:00,58,34.0,71.0,1300.0,6.0,-5.6,1013.2,-13.0,56
2013-03-03 06:00:00,59,24.0,68.0,1399.0,6.0,-5.7,1013.2,-13.1,53
2013-03-03 07:00:00,62,25.0,68.0,1700.0,6.0,-3.3,1013.5,-12.8,52
2013-03-03 08:00:00,75,51.0,71.0,2399.0,12.0,-0.3,1012.8,-11.4,58
2013-03-03 09:00:00,106,69.0,72.0,2000.0,15.0,3.4,1012.5,-12.6,81
2013-03-03 10:00:00,101,78.0,84.0,2200.0,17.0,6.5,1011.4,-12.2,84
2013-03-03 11:00:00,148,91.0,93.0,1899.0,20.0,9.0,1010.4,-11.6,106
2013-03-03 12:00:00,135,78.0,89.0,1800.0,24.0,12.2,1009.1,-13.7,110
2013-03-03 13:00:00,151,64.0,80.0,1500.0,30.0,15.6,1007.5,-13.8,113
2013-03-03 14:00:00,151,36.0,53.0,1000.0,52.0,16.6,1006.9,-14.1,100
2013-03-03 15:00:00,128,14.0,20.0,400.0,78.0,17.0,1006.8,-14.9,68
2013-03-03 16:00:00,90,10.0,16.0,400.0,82.0,16.1,1006.9,-14.4,32
2013-03-03 17:00:00,71,27.0,21.0,400.0,76.0,13.9,1007.6,-14.1,21
2013-03-03 18:00:00,33,17.0,22.0,400.0,72.0,12.4,1009.0,-14.4,16
2013-03-03 19:00:00,43,12.0,35.0,600.0,59.0,8.9,1010.0,-13.5,18
2013-03-03 20:00:00,56,27.0,46.0,800.0,45.0,7.7,1010.1,-12.2,24
2013-03-03 21:00:00,55,27.0,42.0,700.0,47.0,6.9,1010.6,-12.3,29
2013-03-03 22:00:00,46,25.0,69.0,1300.0,19.0,6.8,1011.2,-11.9,23
2013-03-03 23:00:00,78,14.0,24.0,700.0,52.0,8.6,1012.1,-11.4,30
2013-03-04 00:00:00,42,30.0,22.0,400.0,57.0,9.2,1013.2,-12.6,25
2013-03-04 01:00:00,38,24.0,13.0,300.0,72.0,7.3,1014.2,-12.5,16
2013-03-04 02:00:00,31,29.0,14.0,300.0,74.0,6.1,1014.4,-13.5,8
2013-03-04 03:00:00,20,4.0,10.0,400.0,76.0,6.6,1014.2,-14.8,6
2013-03-04 04:00:00,13,3.0,10.0,300.0,80.0,4.8,1014.6,-12.2,7
2013-03-04 05:00:00,14,31.0,46.0,600.0,38.0,5.4,1015.4,-12.1,3
2013-03-04 06:00:00,24,43.0,43.0,500.0,39.0,4.2,1016.1,-12.3,10
2013-03-04 07:00:00,28,38.0,38.0,700.0,42.0,6.3,1016.8,-12.3,12
2013-03-04 08:00:00,32,29.0,34.0,700.0,48.0,8.9,1017.4,-12.9,12
2013-03-04 09:00:00,29,21.0,19.0,500.0,65.0,10.2,1017.6,-13.8,16
2013-03-04 10:00:00,23,16.0,12.0,400.0,76.0,11.4,1017.1,-14.4,14
2013-03-04 11:00:00,16,7.0,11.0,400.0,80.0,12.7,1016.6,-15.1,7
2013-03-04 12:00:00,22,6.0,9.0,400.0,85.0,14.6,1015.4,-14.6,8
2013-03-04 13:00:00,16,7.0,9.0,400.0,89.0,15.1,1014.2,-15.2,14
2013-03-04 14:00:00,13,14.0,11.0,400.0,91.0,16.1,1013.1,-16.9,11
2013-03-04 15:00:00,24,11.0,10.0,400.0,95.0,16.1,1012.5,-16.9,21
2013-03-04 16:00:00,17,10.0,12.0,400.0,92.0,14.8,1012.0,-14.4,10
2013-03-04 17:00:00,15,8.0,21.0,400.0,86.0,12.9,1012.4,-14.0,13
2013-03-04 18:00:00,29,14.0,40.0,500.0,81.0,11.3,1012.7,-13.7,17
2013-03-04 19:00:00,54,39.0,63.0,700.0,57.0,8.7,1013.2,-12.5,32
2013-03-04 20:00:00,71,66.0,91.0,1100.0,25.0,5.9,1013.4,-11.7,43
2013-03-04 21:00:00,99,41.0,88.0,1500.0,18.0,4.9,1013.4,-11.7,64
2013-03-04 22:00:00,123,25.0,57.0,1100.0,34.0,4.0,1013.2,-11.6,76
2013-03-04 23:00:00,75,21.0,43.0,1200.0,95.0,4.2,1012.6,-11.5,54
2013-03-05 00:00:00,69,20.0,37.0,900.0,95.0,2.8,1012.1,-11.2,57
2013-03-05 01:00:00,57,38.0,66.0,1600.0,95.0,1.8,1011.7,-11.0,48
2013-03-05 02:00:00,99,32.0,54.0,1399.0,95.0,0.8,1011.4,-10.7,65
2013-03-05 03:00:00,75,20.0,36.0,1100.0,95.0,0.2,1011.0,-10.4,60
2013-03-05 04:00:00,54,40.0,75.0,2299.0,95.0,-0.1,1010.7,-10.1,46
2013-03-05 05:00:00,113,33.0,61.0,1600.0,95.0,-0.4,1010.9,-9.6,72
2013-03-05 06:00:00,78,31.0,53.0,1100.0,95.0,-1.0,1010.6,-9.4,56
2013-03-05 07:00:00,66,34.0,69.0,2000.0,95.0,1.2,1010.4,-9.4,51
2013-03-05 08:00:00,105,40.0,66.0,1600.0,95.0,6.0,1010.1,-10.7,68
2013-03-05 09:00:00,92,64.0,75.0,1899.0,95.0,7.8,1009.5,-10.6,68
2013-03-05 10:00:00,117,81.0,92.0,2000.0,95.0,9.3,1008.7,-9.3,87
2013-03-05 11:00:00,160,66.0,80.0,1500.0,95.0,11.0,1007.8,-9.4,107
2013-03-05 12:00:00,139,52.0,65.0,1399.0,55.0,12.1,1006.5,-9.0,109
2013-03-05 13:00:00,133,56.0,55.0,1300.0,95.0,13.2,1005.1,-8.1,118
2013-03-05 14:00:00,127,57.0,60.0,1300.0,95.0,14.1,1004.3,-8.6,126
2013-03-05 15:00:00,129,62.0,76.0,1500.0,92.0,13.5,1004.1,-8.4,124
2013-03-05 16:00:00,153,59.0,81.0,1500.0,86.0,13.3,1003.9,-8.0,149
2013-03-05 17:00:00,158,74.0,104.0,1600.0,81.0,12.4,1004.5,-8.2,151
2013-03-05 18:00:00,168,64.0,106.0,1700.0,81.0,8.9,1005.0,-7.8,158
2013-03-05 19:00:00,172,69.0,123.0,1899.0,81.0,7.7,1005.4,-7.6,161
2013-03-05 20:00:00,187,68.0,127.0,2299.0,81.0,6.3,1005.9,-7.3,173
2013-03-05 21:00:00,210,55.0,94.0,2100.0,81.0,5.6,1006.0,-7.3,191
2013-03-05 22:00:00,183,52.0,78.0,1899.0,81.0,4.9,1005.8,-7.0,181
2013-03-05 23:00:00,160,50.0,74.0,1899.0,81.0,3.7,1005.7,-6.9,141
2013-03-06 00:00:00,154,65.0,115.0,2700.0,81.0,3.9,1005.4,-6.7,152
2013-03-06 01:00:00,195,52.0,72.0,2000.0,81.0,3.9,1005.3,-6.4,180
2013-03-06 02:00:00,153,53.5,100.0,2399.0,81.0,3.5,1004.8,-6.5,146
2013-03-06 03:00:00,179,55.0,74.0,2449.5,81.0,3.7,1004.7,-6.3,170
2013-03-06 04:00:00,155,59.0,87.5,2500.0,81.0,2.4,1004.7,-6.2,149
2013-03-06 05:00:00,202,79.0,101.0,2500.0,81.0,2.1,1004.9,-5.8,182
2013-03-06 06:00:00,187,86.0,94.0,2399.0,81.0,3.1,1005.1,-5.6,182
2013-03-06 07:00:00,190,82.0,93.0,2700.0,81.0,4.7,1006.2,-4.9,187
2013-03-06 08:00:00,200,86.0,85.0,2299.0,81.0,5.5,1006.2,-4.1,195
2013-03-06 09:00:00,200,81.0,86.0,2799.0,81.0,7.2,1006.1,-5.5,193
2013-03-06 10:00:00,219,109.0,114.0,3600.0,81.0,8.8,1005.8,-5.5,200
2013-03-06 11:00:00,280,123.0,126.0,3700.0,81.0,10.6,1004.6,-5.0,239
2013-03-06 12:00:00,324,142.0,142.0,3799.0,81.0,12.4,1003.4,-4.7,271
2013-03-06 13:00:00,315,118.0,135.0,3399.0,81.0,13.4,1002.5,-4.3,281
2013-03-06 14:00:00,284,121.0,152.0,3600.0,81.0,13.6,1001.8,-4.1,263
2013-03-06 15:00:00,347,118.0,160.0,3299.0,81.0,13.6,1001.9,-3.7,293
2013-03-06 16:00:00,352,112.0,158.0,3100.0,66.0,13.3,1002.2,-3.9,302
2013-03-06 17:00:00,342,107.0,141.0,2700.0,60.0,12.0,1002.7,-3.8,312
2013-03-06 18:00:00,300,110.0,135.0,2600.0,39.0,10.6,1003.7,-3.9,280
2013-03-06 19:00:00,281,104.0,137.0,2700.0,37.0,7.1,1004.5,-3.5,265
2013-03-06 20:00:00,285,107.0,136.0,3299.0,37.0,6.2,1004.9,-3.5,268
2013-03-06 21:00:00,281,136.0,156.0,4799.0,37.0,5.5,1004.5,-3.6,272
2013-03-06 22:00:00,394,118.0,148.0,5500.0,35.0,4.7,1004.3,-3.6,339
2013-03-06 23:00:00,360,113.0,140.0,4500.0,30.0,4.5,1004.1,-3.3,326
2013-03-07 00:00:00,287,98.0,131.0,3899.0,30.0,5.3,1004.2,-3.3,282
2013-03-07 01:00:00,249,77.0,117.0,3399.0,22.0,6.2,1004.2,-3.2,206
2013-03-07 02:00:00,228,80.0,111.0,3000.0,22.0,3.0,1003.8,-3.8,227
2013-03-07 03:00:00,211,72.0,105.0,2899.0,22.0,1.4,1003.6,-4.3,208
2013-03-07 04:00:00,200,73.0,110.0,3700.0,22.0,1.3,1003.5,-5.0,198
2013-03-07 05:00:00,215,67.0,108.0,4700.0,22.0,1.0,1003.7,-5.3,201
2013-03-07 06:00:00,234,72.0,102.0,4400.0,22.0,0.2,1003.6,-5.4,202
2013-03-07 07:00:00,206,65.0,95.0,4400.0,22.0,4.9,1003.6,-4.4,175
2013-03-07 08:00:00,180,114.0,96.0,5099.0,22.0,7.0,1003.4,-3.6,143
2013-03-07 09:00:00,200,92.0,114.0,4599.0,22.0,8.9,1003.2,-3.7,140
2013-03-07 10:00:00,240,138.0,150.0,4200.0,22.0,12.5,1002.1,-5.5,169
2013-03-07 11:00:00,309,100.0,111.0,2299.0,22.0,15.0,1000.3,-4.9,225
2013-03-07 12:00:00,183,58.0,62.0,1300.0,41.0,16.3,998.4,-4.3,174
2013-03-07 13:00:00,82,46.0,53.0,1100.0,65.0,17.3,996.7,-4.1,71
2013-03-07 14:00:00,88,53.0,98.0,1600.0,65.0,16.6,995.5,-3.5,83
2013-03-07 15:00:00,133,73.0,177.0,2500.0,65.0,16.8,994.7,-3.4,137
2013-03-07 16:00:00,230,81.0,186.0,2899.0,65.0,16.6,994.1,-3.5,207
2013-03-07 17:00:00,285,80.0,163.0,2799.0,65.0,14.5,993.9,-3.3,258
2013-03-07 18:00:00,298,77.0,141.0,2500.0,65.0,12.5,994.5,-3.4,264
2013-03-07 19:00:00,247,105.0,191.0,3200.0,21.0,11.8,994.7,-3.2,241
2013-03-07 20:00:00,286,98.0,199.0,3399.0,65.0,9.8,994.6,-2.8,256
2013-03-07 21:00:00,282,96.0,171.0,3000.0,65.0,7.9,995.1,-3.0,262
2013-03-07 22:00:00,241,82.0,166.0,3799.0,65.0,8.1,995.1,-3.4,238
2013-03-07 23:00:00,261,70.0,145.0,3500.0,65.0,6.8,995.0,-3.2,249
2013-03-08 00:00:00,238,60.0,132.0,3200.0,65.0,5.9,995.3,-3.0,224
2013-03-08 01:00:00,227,68.0,140.0,5299.0,65.0,4.4,995.6,-3.2,216
2013-03-08 02:00:00,292,71.0,141.0,6299.0,65.0,4.0,995.2,-3.5,263
2013-03-08 03:00:00,328,68.0,131.0,5000.0,65.0,4.5,994.7,-3.1,290
2013-03-08 04:00:00,273,63.0,125.0,4700.0,65.0,16.7,994.9,-5.8,257
2013-03-08 05:00:00,235,57.0,105.0,3299.0,65.0,15.4,995.6,-6.2,233
2013-03-08 06:00:00,211,30.0,36.0,700.0,65.0,12.7,996.2,-5.4,193
2013-03-08 07:00:00,135,44.0,85.0,1500.0,65.0,14.9,996.7,-5.5,72
2013-03-08 08:00:00,159,46.0,84.0,1700.0,65.0,11.2,997.8,-4.1,79
2013-03-08 09:00:00,182,66.0,87.0,2399.0,65.0,14.5,997.9,-2.9,85
2013-03-08 10:00:00,257,59.4048,94.0274,2299.5,65.0,17.3,997.3,-3.5,180
2013-03-08 11:00:00,264,63.0,96.0,2200.0,65.0,19.3,996.7,-3.6,207
2013-03-08 12:00:00,222,43.0,76.0,1700.0,67.0,20.6,995.8,-3.9,179
2013-03-08 13:00:00,202,37.0,75.0,1500.0,77.0,21.9,994.7,-4.3,153
2013-03-08 14:00:00,244,40.0,88.0,1600.0,86.0,17.6,995.0,1.5,159
2013-03-08 15:00:00,653,80.0,141.0,4500.0,107.0,14.8,996.1,0.2,443
2013-03-08 16:00:00,438,83.0,86.0,2899.0,107.0,13.1,996.5,-0.2,289
2013-03-08 17:00:00,252,73.0,65.0,1899.0,107.0,11.7,996.5,-0.5,173
2013-03-08 18:00:00,213,69.0,65.0,1500.0,107.0,10.4,997.4,-1.0,141
2013-03-08 19:00:00,182,58.0,62.0,1399.0,107.0,9.4,997.3,-0.8,112
2013-03-08 20:00:00,158,63.0,67.0,1300.0,107.0,8.6,997.1,-1.5,113
2013-03-08 21:00:00,138,62.0,69.0,1100.0,107.0,7.6,996.9,-2.4,117
2013-03-08 22:00:00,118,50.0,59.0,1300.0,107.0,6.8,996.0,-3.2,99
2013-03-08 23:00:00,132,50.0,63.0,1600.0,107.0,5.6,994.5,-3.0,100
2013-03-09 00:00:00,133,56.0,65.0,1700.0,107.0,4.3,993.1,-3.0,100
2013-03-09 01:00:00,103,53.0,50.0,1700.0,107.0,3.9,991.9,-2.5,96
2013-03-09 02:00:00,132,36.0,51.0,1800.0,107.0,3.0,991.2,-2.7,102
2013-03-09 03:00:00,128,28.0,43.0,1500.0,107.0,2.4,989.8,-2.9,107
2013-03-09 04:00:00,112,33.0,40.0,1399.0,107.0,1.9,988.9,-3.0,97
2013-03-09 05:00:00,123,51.0,73.0,1700.0,107.0,2.0,989.2,-3.3,104
2013-03-09 06:00:00,128,62.0,87.0,1700.0,107.0,1.8,989.0,-3.3,106
2013-03-09 07:00:00,131,65.0,83.0,1899.0,107.0,6.0,990.5,-2.1,104
2013-03-09 08:00:00,162,82.0,91.0,2200.0,107.0,14.2,992.3,-1.5,116
2013-03-09 09:00:00,366,86.0,63.0,1700.0,107.0,16.8,993.8,-2.3,142
2013-03-09 10:00:00,579,34.0,26.0,900.0,107.0,14.4,996.8,-7.1,106
2013-03-09 11:00:00,305,8.0,11.0,400.0,107.0,12.9,999.1,-11.6,28
2013-03-09 12:00:00,595,3.0,4.0,300.0,107.0,10.7,1001.8,-15.8,35
2013-03-09 13:00:00,438,3.0,4.0,300.0,107.0,9.6,1003.9,-18.5,20
2013-03-09 14:00:00,360,3.0,5.0,300.0,107.0,10.3,1005.2,-17.9,21
2013-03-09 15:00:00,260,4.0,7.0,300.0,97.0,10.3,1006.3,-17.9,22
2013-03-09 16:00:00,191,8.0,8.0,300.0,94.0,9.2,1008.0,-18.8,9
2013-03-09 17:00:00,196,3.0,7.0,300.0,94.0,7.7,1010.2,-20.0,13
2013-03-09 18:00:00,110,6.0,9.0,300.0,94.0,6.6,1013.1,-19.9,15
2013-03-09 19:00:00,83,17.0,13.0,400.0,94.0,5.7,1015.1,-19.8,13
2013-03-09 20:00:00,64,13.0,10.0,300.0,94.0,5.0,1017.0,-19.6,12
2013-03-09 21:00:00,55,18.0,12.0,300.0,94.0,4.8,1017.7,-19.7,8
2013-03-09 22:00:00,29,3.0,7.0,400.0,94.0,3.8,1018.1,-19.8,14
2013-03-09 23:00:00,22,3.0,8.0,400.0,94.0,3.4,1018.0,-20.1,8
2013-03-10 00:00:00,20,3.0,10.0,500.0,94.0,4.4,1017.8,-20.1,12
2013-03-10 01:00:00,19,7.0,14.0,500.0,94.0,4.9,1018.1,-20.4,13
2013-03-10 02:00:00,11,8.0,15.0,600.0,94.0,4.5,1017.9,-20.0,10
2013-03-10 03:00:00,7,9.0,24.0,500.0,94.0,4.1,1018.1,-20.3,3
