date,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,PM2.5
2013-03-01 00:00:00,4.0,3.0,2.0,200.0,82.0,-2.3,1020.8,-19.7,4.0
2013-03-01 01:00:00,7.0,3.0,2.0,200.0,80.0,-2.5,1021.3,-19.0,7.0
2013-03-01 02:00:00,5.0,3.0,2.0,200.0,79.0,-3.0,1021.3,-19.9,5.0
2013-03-01 03:00:00,6.0,3.0,2.6666666666666665,200.0,79.0,-3.6,1021.8,-19.1,6.0
2013-03-01 04:00:00,5.0,3.0,3.333333333333333,200.0,81.0,-3.5,1022.3,-19.4,5.0
2013-03-01 05:00:00,6.0,3.0,4.0,200.0,79.0,-4.5,1022.6,-19.5,6.0
2013-03-01 06:00:00,10.0,3.0,4.0,200.0,77.0,-4.5,1023.4,-19.5,5.0
2013-03-01 07:00:00,6.0,3.0,2.0,200.0,80.0,-2.1,1024.6,-20.0,5.0
2013-03-01 08:00:00,7.0,3.0,3.0,200.0,79.0,-0.2,1025.2,-20.5,8.0
2013-03-01 09:00:00,8.0,3.0,2.0,200.0,81.0,0.6,1025.3,-20.4,8.0
2013-03-01 10:00:00,5.0,3.0,2.0,200.0,83.0,2.0,1025.1,-21.3,8.0
2013-03-01 11:00:00,2.0,3.0,2.0,200.0,83.0,3.6,1024.8,-20.7,3.0
2013-03-01 12:00:00,4.5,3.0,2.0,200.0,85.0,4.8,1023.8,-19.7,6.0
2013-03-01 13:00:00,7.0,3.0,2.0,200.0,84.0,5.8,1022.8,-20.6,7.0
2013-03-01 14:00:00,7.0,3.0,2.0,200.0,89.0,5.9,1022.6,-20.5,6.0
2013-03-01 15:00:00,10.0,3.0,2.0,200.0,88.0,6.0,1022.6,-20.4,10.0
2013-03-01 16:00:00,6.0,3.0,2.0,200.0,87.0,5.4,1022.8,-20.0,3.0
2013-03-01 17:00:00,5.0,3.0,2.0,200.0,87.0,3.5,1023.4,-20.8,5.0
2013-03-01 18:00:00,6.0,3.0,2.0,200.0,85.0,2.7,1024.2,-20.0,5.0
2013-03-01 19:00:00,6.0,3.0,2.0,200.0,83.0,2.0,1025.1,-19.3,14.0
2013-03-01 20:00:00,7.0,3.0,2.0,200.0,83.0,1.1,1025.9,-18.3,6.0
2013-03-01 21:00:00,7.0,3.0,2.0,200.0,82.0,1.6,1026.7,-17.4,9.0
2013-03-01 22:00:00,5.0,3.0,2.0,200.0,79.0,0.4,1027.2,-17.4,6.0
2013-03-01 23:00:00,9.0,3.0,2.0,300.0,72.0,0.3,1027.0,-16.6,6.0
2013-03-02 00:00:00,7.0,3.0,2.0,200.0,74.0,-0.5,1027.4,-16.4,4.0
2013-03-02 01:00:00,6.0,3.0,2.0,200.0,75.0,-1.8,1027.9,-16.7,6.0
2013-03-02 02:00:00,2.0,13.0,39.0,800.0,36.0,-1.7,1027.7,-17.4,7.0
2013-03-02 03:00:00,47.0,21.0,71.0,1200.0,6.0,-2.5,1027.7,-17.4,28.0
2013-03-02 04:00:00,65.0,25.0,71.0,1200.0,5.0,-3.4,1027.5,-17.0,31.0
2013-03-02 05:00:00,55.0,22.0,70.0,1200.0,2.0,-3.5,1026.9,-16.8,39.0
2013-03-02 06:00:00,45.0,16.0,65.0,1000.0,4.0,-3.5,1026.1,-15.8,41.0
2013-03-02 07:00:00,32.0,13.0,56.0,800.0,8.0,-3.3,1026.7,-14.4,52.0
2013-03-02 08:00:00,18.0,16.0,52.0,900.0,12.0,-2.0,1026.4,-15.1,36.0
2013-03-02 09:00:00,41.0,18.0,43.0,900.0,20.0,-0.2,1026.3,-16.6,27.0
2013-03-02 10:00:00,38.0,20.0,35.0,600.0,42.0,0.6,1025.8,-17.2,29.0
2013-03-02 11:00:00,12.0,22.0,38.0,600.0,43.0,1.3,1025.4,-17.1,19.0
2013-03-02 12:00:00,32.0,32.0,56.0,700.0,32.0,1.9,1024.2,-17.1,28.0
2013-03-02 13:00:00,41.0,27.0,42.0,600.0,45.0,2.3,1022.6,-17.3,30.0
2013-03-02 14:00:00,29.0,30.0,48.0,700.0,43.0,3.0,1021.9,-17.3,26.0
2013-03-02 15:00:00,36.0,37.0,56.0,800.0,39.0,2.9,1020.9,-16.8,32.0
2013-03-02 16:00:00,44.0,42.0,64.0,900.0,33.0,2.5,1020.6,-17.1,39.0
2013-03-02 17:00:00,54.0,44.0,70.0,900.0,27.0,2.1,1020.2,-16.4,43.0
2013-03-02 18:00:00,60.0,45.0,80.0,1000.0,19.0,1.5,1020.4,-16.0,48.0
2013-03-02 19:00:00,64.0,36.0,80.0,1000.0,11.0,0.3,1020.0,-15.3,46.0
2013-03-02 20:00:00,66.0,30.0,79.0,1200.0,6.0,0.0,1019.9,-15.2,45.0
2013-03-02 21:00:00,68.0,36.0,82.0,1200.0,4.0,-1.2,1019.7,-13.7,50.0
2013-03-02 22:00:00,73.0,26.0,76.0,1200.0,4.0,-2.1,1019.1,-13.3,56.0
2013-03-02 23:00:00,66.0,25.0,76.0,1200.0,3.0,-2.2,1018.2,-13.4,55.0
2013-03-03 00:00:00,60.0,26.0,77.0,1200.0,2.0,-2.4,1017.4,-13.0,60.0
2013-03-03 01:00:00,63.0,21.0,72.0,1100.0,2.0,-3.8,1016.5,-12.2,59.0
2013-03-03 02:00:00,53.0,20.5,69.0,1300.0,3.0,-3.8,1015.1,-12.7,52.0
2013-03-03 03:00:00,57.0,20.0,67.0,1150.0,45.0,-4.0,1014.1,-13.4,57.0
2013-03-03 04:00:00,48.0,19.0,66.5,1000.0,2.0,-4.8,1013.6,-13.2,53.0
2013-03-03 05:00:00,55.0,19.0,66.0,1100.0,3.0,-5.6,1013.2,-13.0,48.0
2013-03-03 06:00:00,55.0,19.0,69.0,1300.0,2.0,-5.7,1013.2,-13.1,53.0
2013-03-03 07:00:00,59.0,15.0,67.0,1000.0,2.0,-3.3,1013.5,-12.8,53.0
2013-03-03 08:00:00,56.0,22.0,62.0,1200.0,8.0,-0.3,1012.8,-11.4,50.0
2013-03-03 09:00:00,78.0,33.0,60.0,1500.0,16.0,3.4,1012.5,-12.6,60.0
2013-03-03 10:00:00,87.0,41.0,61.0,1200.0,24.0,6.5,1011.4,-12.2,73.0
2013-03-03 11:00:00,101.0,49.0,64.0,1200.0,27.0,9.0,1010.4,-11.6,76.0
2013-03-03 12:00:00,102.0,64.0,75.0,1500.0,27.0,12.2,1009.1,-13.7,75.0
2013-03-03 13:00:00,147.0,51.0,58.0,1100.0,38.0,15.6,1007.5,-13.8,92.0
2013-03-03 14:00:00,147.0,23.0,27.0,600.0,65.0,16.6,1006.9,-14.1,79.0
2013-03-03 15:00:00,105.0,4.0,3.0,200.0,86.0,17.0,1006.8,-14.9,44.0
2013-03-03 16:00:00,43.0,3.0,2.75,200.0,88.0,16.1,1006.9,-14.4,14.0
2013-03-03 17:00:00,29.0,3.0,2.5,200.0,87.0,13.9,1007.6,-14.1,5.0
2013-03-03 18:00:00,32.0,3.0,2.25,200.0,84.0,12.4,1009.0,-14.4,3.0
2013-03-03 19:00:00,46.0,3.0,2.0,200.0,83.0,8.9,1010.0,-13.5,11.0
2013-03-03 20:00:00,42.0,3.0,2.0,200.0,82.0,7.7,1010.1,-12.2,5.0
2013-03-03 21:00:00,34.0,3.0,2.0,200.0,79.0,6.9,1010.6,-12.3,12.0
2013-03-03 22:00:00,31.0,7.0,8.0,500.0,61.0,6.8,1011.2,-11.9,4.0
2013-03-03 23:00:00,38.0,4.0,4.0,300.0,68.0,8.6,1012.1,-11.4,14.0
2013-03-04 00:00:00,34.0,3.0,4.0,200.0,76.0,9.2,1013.2,-12.6,13.0
2013-03-04 01:00:00,36.0,3.0,4.0,200.0,80.0,7.3,1014.2,-12.5,10.0
2013-03-04 02:00:00,28.0,3.0,4.0,200.0,81.0,6.1,1014.4,-13.5,8.0
2013-03-04 03:00:00,19.0,3.0,4.0,200.0,84.0,6.6,1014.2,-14.8,5.0
2013-03-04 04:00:00,4.0,3.0,4.0,200.0,86.0,4.8,1014.6,-12.2,11.0
2013-03-04 05:00:00,3.5,3.0,4.0,200.0,87.0,5.4,1015.4,-12.1,5.0
2013-03-04 06:00:00,3.0,3.0,4.0,200.0,79.0,4.2,1016.1,-12.3,8.0
2013-03-04 07:00:00,19.0,8.0,7.0,300.0,71.0,6.3,1016.8,-12.3,7.0
2013-03-04 08:00:00,15.0,10.0,8.0,300.0,69.0,8.9,1017.4,-12.9,4.0
2013-03-04 09:00:00,16.0,13.0,8.0,300.0,70.0,10.2,1017.6,-13.8,5.0
2013-03-04 10:00:00,17.0,13.0,7.0,300.0,74.0,11.4,1017.1,-14.4,8.0
2013-03-04 11:00:00,11.0,6.0,4.0,300.0,80.0,12.7,1016.6,-15.1,7.0
2013-03-04 12:00:00,6.0,5.0,3.0,200.0,84.0,14.6,1015.4,-14.6,5.0
2013-03-04 13:00:00,7.0,6.0,4.0,300.0,86.0,15.1,1014.2,-15.2,10.0
2013-03-04 14:00:00,11.0,10.0,6.0,300.0,88.0,16.1,1013.1,-16.9,13.0
2013-03-04 15:00:00,18.0,9.0,6.0,300.0,91.0,16.1,1012.5,-16.9,16.0
2013-03-04 16:00:00,20.0,6.0,6.0,300.0,90.0,14.8,1012.0,-14.4,18.0
