date,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,PM2.5
2013-03-01 00:00:00,18.0,5.0,5.0,800.0,88.0,0.1,1021.1,-18.6,6.0
2013-03-01 01:00:00,15.0,5.0,5.0,800.0,88.0,-0.3,1021.5,-19.0,6.0
2013-03-01 02:00:00,18.0,5.5,5.0,700.0,52.0,-0.7,1021.5,-19.8,5.0
2013-03-01 03:00:00,20.0,6.0,5.0,650.0,62.5,-1.0,1022.7,-21.2,6.0
2013-03-01 04:00:00,17.0,5.0,5.0,600.0,73.0,-1.3,1023.0,-21.4,5.0
2013-03-01 05:00:00,11.0,3.0,5.0,700.0,87.0,-1.8,1023.6,-21.9,4.0
2013-03-01 06:00:00,6.0,3.0,5.0,700.0,92.0,-2.6,1024.3,-20.4,3.0
2013-03-01 07:00:00,5.0,3.0,5.0,800.0,86.0,-0.9,1025.6,-20.5,5.0
2013-03-01 08:00:00,9.0,5.0,5.0,900.0,81.0,0.1,1026.1,-20.3,5.0
2013-03-01 09:00:00,10.0,6.0,5.0,900.0,82.0,1.1,1026.1,-20.6,4.0
2013-03-01 10:00:00,8.0,8.0,5.0,900.0,82.0,1.9,1026.1,-21.3,7.0
2013-03-01 11:00:00,6.0,8.0,5.0,800.0,85.0,3.3,1026.1,-20.9,3.0
2013-03-01 12:00:00,10.0,8.0,5.0,800.0,86.0,4.1,1025.1,-20.3,9.0
2013-03-01 13:00:00,19.0,9.0,5.0,900.0,86.0,5.3,1024.1,-20.1,10.0
2013-03-01 14:00:00,20.0,8.0,5.0,800.0,88.0,5.5,1023.8,-20.0,13.0
2013-03-01 15:00:00,16.0,8.0,5.0,800.0,90.0,6.3,1023.5,-19.3,13.0
2013-03-01 16:00:00,22.0,6.0,5.0,800.0,90.0,5.9,1023.6,-18.8,11.0
2013-03-01 17:00:00,20.0,4.0,5.0,800.0,87.0,5.1,1024.2,-18.7,10.0
2013-03-01 18:00:00,20.0,6.0,5.0,900.0,80.0,3.7,1025.3,-19.2,11.0
2013-03-01 19:00:00,31.0,8.0,5.0,1000.0,69.0,2.7,1026.1,-19.3,11.0
2013-03-01 20:00:00,25.0,12.0,5.0,1100.0,61.0,1.6,1027.1,-18.4,13.0
2013-03-01 21:00:00,23.0,14.0,13.0,1200.0,52.0,1.0,1028.1,-17.4,15.0
2013-03-01 22:00:00,28.0,16.0,19.0,1200.0,45.0,1.3,1028.4,-17.6,16.0
2013-03-01 23:00:00,28.0,14.0,20.0,1100.0,44.0,0.2,1028.6,-17.6,16.0
2013-03-02 00:00:00,18.0,24.0,43.0,1399.0,25.0,-0.3,1028.9,-18.0,14.0
2013-03-02 01:00:00,39.0,25.0,28.0,1300.0,37.0,-0.7,1029.2,-17.9,18.0
2013-03-02 02:00:00,29.0,30.0,13.0,1100.0,47.0,-0.8,1028.8,-18.0,19.0
2013-03-02 03:00:00,24.0,20.0,12.0,1000.0,46.0,-1.2,1028.6,-17.9,15.0
2013-03-02 04:00:00,16.0,21.0,24.0,1200.0,37.0,-1.3,1028.7,-18.9,13.0
2013-03-02 05:00:00,23.0,26.0,11.0,1200.0,50.0,-1.3,1028.0,-18.4,12.0
2013-03-02 06:00:00,12.0,18.0,11.0,1000.0,62.0,-1.6,1027.5,-18.6,12.0
2013-03-02 07:00:00,6.0,19.0,11.0,1100.0,52.0,-1.3,1028.0,-17.9,3.0
2013-03-02 08:00:00,9.0,22.0,15.0,1200.0,51.0,-0.6,1027.7,-17.8,3.0
2013-03-02 09:00:00,15.0,30.0,27.0,1200.0,42.0,0.3,1027.8,-17.5,10.0
2013-03-02 10:00:00,17.0,34.0,45.0,1300.0,30.0,1.7,1027.2,-17.3,15.0
2013-03-02 11:00:00,31.0,27.0,45.0,1399.0,31.0,2.5,1026.4,-17.1,20.0
2013-03-02 12:00:00,36.0,26.0,23.0,1200.0,49.0,3.1,1025.1,-17.2,26.0
2013-03-02 13:00:00,43.0,23.0,6.0,1100.0,65.0,3.5,1023.7,-17.4,31.0
2013-03-02 14:00:00,36.0,26.0,12.0,1200.0,62.0,3.7,1022.9,-16.7,32.0
2013-03-02 15:00:00,37.0,40.0,22.0,1600.0,59.0,3.8,1022.3,-16.0,36.0
2013-03-02 16:00:00,66.0,47.0,30.0,1600.0,55.0,3.6,1021.7,-15.1,47.0
2013-03-02 17:00:00,80.0,50.0,32.0,1500.0,51.0,3.2,1021.6,-14.5,59.0
2013-03-02 18:00:00,88.0,50.0,36.0,1600.0,50.0,2.8,1021.2,-13.9,63.0
2013-03-02 19:00:00,102.0,62.0,62.0,1899.0,26.0,1.4,1021.1,-13.5,70.0
2013-03-02 20:00:00,125.0,66.0,89.0,2100.0,6.0,1.4,1021.1,-14.7,86.0
2013-03-02 21:00:00,147.0,67.0,84.0,2200.0,7.0,0.5,1020.7,-13.6,98.0
2013-03-02 22:00:00,126.0,71.0,97.0,2500.0,5.0,-0.8,1020.2,-12.7,98.0
2013-03-02 23:00:00,108.0,71.0,97.0,2600.0,5.0,-1.9,1019.2,-11.5,86.0
2013-03-03 00:00:00,108.0,64.0,91.0,2500.0,4.0,-2.5,1018.4,-11.0,81.0
2013-03-03 01:00:00,99.0,66.0,85.0,3000.0,5.0,-2.6,1017.6,-10.9,80.0
2013-03-03 02:00:00,106.0,66.0,74.0,3799.0,5.0,-3.1,1016.2,-11.1,84.0
2013-03-03 03:00:00,137.0,50.0,61.0,2600.0,5.0,-3.6,1015.4,-11.6,87.0
2013-03-03 04:00:00,92.0,42.0,39.0,2100.0,10.0,-4.2,1014.9,-11.2,79.0
2013-03-03 05:00:00,71.0,56.0,78.0,3799.0,5.0,-4.4,1014.5,-11.0,54.0
2013-03-03 06:00:00,94.0,47.0,65.0,3700.0,4.0,-4.7,1014.4,-11.5,76.0
2013-03-03 07:00:00,110.0,46.0,53.0,2899.0,4.0,-2.5,1014.7,-10.3,82.0
2013-03-03 08:00:00,88.0,52.0,52.0,2899.0,6.0,1.2,1014.1,-12.6,78.0
2013-03-03 09:00:00,99.0,60.0,66.0,3399.0,9.0,3.8,1013.6,-12.6,77.0
2013-03-03 10:00:00,113.0,80.0,86.0,3000.0,14.0,6.4,1012.8,-12.2,87.0
2013-03-03 11:00:00,115.0,74.0,94.0,3000.0,16.0,10.5,1011.7,-12.2,97.0
2013-03-03 12:00:00,138.0,68.0,109.0,3100.0,18.0,14.1,1010.4,-12.2,102.0
2013-03-03 13:00:00,184.0,66.0,81.0,2399.0,51.0,16.0,1009.3,-13.5,113.0
2013-03-03 14:00:00,194.0,53.0,51.0,1800.0,71.0,16.6,1008.7,-13.0,127.0
2013-03-03 15:00:00,149.0,19.0,28.5,1000.0,85.0,16.9,1008.3,-13.8,97.0
2013-03-03 16:00:00,112.0,20.0,6.0,1100.0,79.0,15.8,1008.4,-11.7,61.0
2013-03-03 17:00:00,119.0,25.0,13.0,1300.0,80.0,12.1,1009.1,-9.0,44.0
2013-03-03 18:00:00,178.0,81.0,90.0,2299.0,51.0,14.6,1010.1,-13.6,78.0
2013-03-03 19:00:00,268.0,60.0,81.0,2100.0,40.0,13.8,1011.3,-13.3,150.0
2013-03-03 20:00:00,193.0,7.0,55.0,900.0,79.0,12.6,1011.4,-13.4,126.0
2013-03-03 21:00:00,39.0,3.0,29.0,800.0,88.0,10.3,1011.7,-12.4,34.0
2013-03-03 22:00:00,32.0,12.0,3.0,1100.0,63.0,9.4,1011.9,-11.9,14.0
2013-03-03 23:00:00,43.0,24.0,52.0,1800.0,17.0,11.0,1012.7,-11.8,20.0
2013-03-04 00:00:00,59.0,23.0,18.0,1600.0,47.0,10.1,1013.6,-11.9,28.0
2013-03-04 01:00:00,53.0,15.0,14.0,900.0,70.0,9.5,1014.5,-11.8,23.0
2013-03-04 02:00:00,38.0,9.0,10.0,800.0,70.0,8.6,1014.7,-12.5,16.0
2013-03-04 03:00:00,40.0,10.0,6.0,900.0,62.0,8.1,1014.9,-13.0,13.0
2013-03-04 04:00:00,40.0,10.0,2.0,1000.0,52.0,7.2,1015.8,-13.1,13.0
2013-03-04 05:00:00,31.0,8.0,13.0,900.0,64.0,3.7,1016.4,-12.7,12.0
2013-03-04 06:00:00,20.0,5.0,24.0,900.0,78.0,3.2,1016.9,-11.9,8.0
2013-03-04 07:00:00,10.0,4.0,35.0,1000.0,62.0,7.0,1017.9,-12.2,5.0
2013-03-04 08:00:00,21.0,17.0,46.0,1500.0,24.0,8.7,1018.7,-11.3,7.0
2013-03-04 09:00:00,49.0,24.0,39.0,1600.0,31.0,10.1,1018.5,-11.9,15.0
