date,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,PM2.5
2013-03-01 00:00:00,7.0,3.0,2.0,100.0,91.0,-2.3,1020.3,-20.7,7.0
2013-03-01 01:00:00,4.0,3.0,2.0,100.0,92.0,-2.7,1020.8,-20.5,4.0
2013-03-01 02:00:00,4.0,3.0,2.0,100.0,91.0,-3.2,1020.6,-21.4,4.0
2013-03-01 03:00:00,3.0,3.0,2.0,200.0,88.5,-3.3,1021.3,-23.7,3.0
2013-03-01 04:00:00,3.0,7.0,2.5,300.0,86.0,-4.1,1022.1,-22.7,3.0
2013-03-01 05:00:00,4.0,3.0,3.0,200.0,85.0,-4.2,1022.3,-24.5,4.0
2013-03-01 06:00:00,6.0,33.0,7.0,300.0,82.0,-5.9,1023.1,-21.9,3.0
2013-03-01 07:00:00,10.0,13.0,13.0,400.0,71.0,-2.7,1024.3,-23.2,3.0
2013-03-01 08:00:00,13.0,34.0,38.0,800.0,45.0,-1.6,1025.2,-23.5,3.0
2013-03-01 09:00:00,36.0,50.0,28.0,700.0,60.0,-1.1,1025.4,-23.8,17.0
2013-03-01 10:00:00,32.0,5.0,3.0,300.0,85.0,1.0,1025.1,-23.6,19.0
2013-03-01 11:00:00,11.0,3.0,3.0,300.0,87.0,2.4,1024.5,-22.5,10.0
2013-03-01 12:00:00,6.0,5.0,3.0,300.0,86.0,3.9,1023.8,-21.3,3.0
2013-03-01 13:00:00,6.0,7.0,3.0,300.0,87.0,4.7,1022.8,-22.4,3.0
2013-03-01 14:00:00,6.0,9.0,6.0,300.0,87.0,5.7,1022.3,-22.6,3.0
2013-03-01 15:00:00,3.0,4.0,3.0,200.0,89.0,5.4,1022.7,-22.8,3.0
2013-03-01 16:00:00,6.0,16.0,6.0,300.0,86.0,4.6,1022.7,-22.5,3.0
2013-03-01 17:00:00,10.0,13.0,12.0,300.0,80.0,3.4,1023.2,-21.7,4.0
2013-03-01 18:00:00,12.0,10.0,15.0,300.0,76.0,1.2,1024.4,-21.2,4.0
2013-03-01 19:00:00,18.0,24.0,22.0,500.0,68.0,0.8,1025.1,-20.9,9.0
2013-03-01 20:00:00,24.0,22.0,24.0,500.0,65.0,0.7,1026.2,-20.4,20.0
2013-03-01 21:00:00,29.0,27.0,16.0,400.0,71.0,-0.2,1027.3,-20.0,23.0
2013-03-01 22:00:00,20.0,23.0,18.0,400.0,68.0,-1.0,1027.9,-19.6,13.0
2013-03-01 23:00:00,24.0,50.0,23.0,400.0,61.0,-1.1,1027.4,-19.2,13.0
2013-03-02 00:00:00,21.0,44.0,28.0,500.0,57.0,-1.8,1027.3,-19.3,15.0
2013-03-02 01:00:00,16.0,28.0,17.0,400.0,67.0,-2.1,1027.9,-19.1,9.0
2013-03-02 02:00:00,13.0,40.0,16.0,300.0,67.0,-2.2,1027.4,-19.6,11.0
2013-03-02 03:00:00,15.0,27.0,17.0,400.0,64.0,-2.3,1027.1,-19.3,8.0
2013-03-02 04:00:00,15.0,47.0,26.0,400.0,56.0,-3.4,1027.2,-18.1,13.0
2013-03-02 05:00:00,18.0,42.2688,26.4837,400.0,56.1204,-4.2,1026.9,-16.4,15.0
2013-03-02 06:00:00,17.0,21.0,11.0,400.0,63.0,-4.5,1025.8,-16.4,12.0
2013-03-02 07:00:00,11.0,11.0,18.0,500.0,45.0,-4.0,1026.6,-14.2,7.0
2013-03-02 08:00:00,11.0,61.0,44.0,600.0,28.0,-2.6,1026.6,-16.7,14.0
2013-03-02 09:00:00,31.0,63.0,60.0,800.0,18.0,-1.2,1026.2,-16.2,22.0
2013-03-02 10:00:00,49.0,48.0,33.0,500.0,43.0,-0.1,1025.8,-16.9,31.0
2013-03-02 11:00:00,35.0,79.0,47.0,600.0,35.0,1.1,1025.5,-16.8,27.0
2013-03-02 12:00:00,50.0,73.0,50.0,700.0,38.0,2.0,1024.3,-18.1,36.0
2013-03-02 13:00:00,47.0,41.0,39.0,500.0,48.0,2.2,1022.8,-17.9,31.0
2013-03-02 14:00:00,37.0,25.0,34.0,400.0,54.0,2.3,1022.0,-17.3,28.0
2013-03-02 15:00:00,31.0,25.0,50.0,600.0,40.0,2.8,1021.3,-17.4,26.0
2013-03-02 16:00:00,41.0,27.0,60.0,700.0,30.0,2.2,1020.7,-16.8,29.0
2013-03-02 17:00:00,52.0,44.0,81.0,800.0,16.0,1.2,1020.4,-15.8,36.0
2013-03-02 18:00:00,67.0,42.0,91.0,1000.0,5.0,0.1,1020.4,-15.5,44.0
2013-03-02 19:00:00,70.0,36.0,100.0,1100.0,2.0,-1.3,1019.9,-12.6,53.0
2013-03-02 20:00:00,71.0,42.0,100.0,1800.0,2.0,-1.6,1019.7,-13.5,52.0
2013-03-02 21:00:00,103.0,34.0,88.0,1600.0,2.0,-1.8,1019.6,-12.5,97.0
2013-03-02 22:00:00,89.0,30.0,83.0,1600.0,2.0,-1.8,1019.0,-13.3,89.0
2013-03-02 23:00:00,83.0,30.0,77.0,1399.0,2.0,-2.8,1018.1,-10.1,80.0
2013-03-03 00:00:00,70.0,22.0,66.0,1300.0,2.0,-2.9,1017.0,-11.9,62.0
2013-03-03 01:00:00,63.0,20.0,52.0,1000.0,6.0,-3.8,1016.2,-12.7,51.0
2013-03-03 02:00:00,49.0,18.0,48.0,900.0,7.0,-4.6,1015.0,-11.2,42.0
2013-03-03 03:00:00,45.0,19.0,52.0,1100.0,2.0,-5.5,1014.3,-11.2,40.0
2013-03-03 04:00:00,51.0,16.0,45.0,1000.0,6.0,-6.1,1013.7,-12.0,44.0
