date,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,PM2.5
2013-03-01 00:00:00,14.0,4.0,12.0,200.0,85.0,-0.5,1024.5,-21.4,5
2013-03-01 01:00:00,12.0,6.0,14.0,200.0,84.0,-0.7,1025.1,-22.1,8
2013-03-01 02:00:00,6.0,5.0,14.0,200.0,83.0,-1.2,1025.3,-24.6,3
2013-03-01 03:00:00,5.0,5.0,14.0,200.0,84.0,-1.4,1026.2,-25.5,5
2013-03-01 04:00:00,5.0,6.0,21.0,200.0,77.0,-1.9,1027.1,-24.5,5
2013-03-01 05:00:00,3.0,13.0,21.0,300.0,77.0,-2.4,1027.5,-21.3,3
2013-03-01 06:00:00,4.0,15.0,32.0,300.0,62.0,-2.5,1028.2,-20.4,4
2013-03-01 07:00:00,7.0,14.0,45.0,400.0,48.0,-1.4,1029.5,-20.4,3
2013-03-01 08:00:00,6.0,13.0,49.0,400.0,46.0,-0.3,1030.4,-21.2,3
2013-03-01 09:00:00,14.0,9.0,28.0,400.0,68.0,0.4,1030.5,-23.3,11
2013-03-01 10:00:00,7.0,6.0,20.0,300.0,77.0,1.4,1030.2,-22.5,3
2013-03-01 11:00:00,6.0,6.0,19.0,300.0,81.0,2.9,1029.8,-22.9,3
2013-03-01 12:00:00,6.0,4.0,17.0,300.0,86.0,4.0,1028.6,-21.2,3
2013-03-01 13:00:00,6.0,4.0,17.0,300.0,87.0,5.0,1027.8,-21.2,3
2013-03-01 14:00:00,11.0,4.0,19.0,300.0,86.0,6.2,1027.6,-22.2,6
2013-03-01 15:00:00,13.0,4.0,18.0,300.0,89.0,6.0,1027.7,-21.3,5
2013-03-01 16:00:00,12.0,4.0,21.0,300.0,85.0,5.6,1027.7,-20.7,5
2013-03-01 17:00:00,23.0,8.0,25.0,400.0,80.0,4.4,1028.2,-20.9,10
2013-03-01 18:00:00,22.0,7.0,27.0,400.0,77.0,3.2,1029.4,-20.3,11
2013-03-01 19:00:00,12.0,12.0,39.0,400.0,64.0,3.0,1030.1,-19.7,11
2013-03-01 20:00:00,14.0,18.0,46.0,500.0,55.0,1.6,1031.3,-19.0,10
2013-03-01 21:00:00,15.0,18.0,50.0,500.0,49.0,0.8,1032.4,-19.7,12
2013-03-01 22:00:00,20.0,20.0,56.0,600.0,43.0,0.1,1032.9,-19.2,17
2013-03-01 23:00:00,17.0,17.0,41.0,500.0,57.0,-0.5,1032.8,-19.7,6
2013-03-02 00:00:00,13.0,12.0,40.0,500.0,57.0,-0.7,1033.0,-18.3,13
2013-03-02 01:00:00,9.0,13.0,39.0,500.0,56.0,-1.6,1033.2,-17.4,3
2013-03-02 02:00:00,9.0,10.5,38.0,400.0,52.0,-2.2,1032.9,-16.7,3
2013-03-02 03:00:00,6.0,8.0,30.0,400.0,89.0,-3.1,1032.6,-15.8,3
2013-03-02 04:00:00,6.0,7.0,36.0,400.0,59.0,-3.1,1032.7,-16.1,3
2013-03-02 05:00:00,6.0,9.0,42.0,400.0,50.0,-2.4,1032.1,-18.1,3
2013-03-02 06:00:00,6.0,16.0,57.0,500.0,35.0,-2.3,1031.3,-18.4,3
2013-03-02 07:00:00,7.0,33.0,61.0,500.0,32.0,-1.9,1031.9,-18.5,3
2013-03-02 08:00:00,6.0,28.0,50.0,500.0,43.0,-0.9,1031.7,-18.0,3
2013-03-02 09:00:00,13.0,26.0,39.0,500.0,54.0,0.1,1031.7,-18.1,3
2013-03-02 10:00:00,9.0,25.0,43.0,500.0,52.0,1.5,1031.2,-18.0,3
2013-03-02 11:00:00,16.0,25.0,52.0,700.0,46.0,2.6,1030.2,-18.2,14
2013-03-02 12:00:00,19.0,24.0,75.0,1000.0,30.0,3.8,1029.0,-17.8,18
2013-03-02 13:00:00,37.0,29.0,72.0,1000.0,35.0,3.8,1027.6,-17.8,26
2013-03-02 14:00:00,42.0,24.0,59.0,800.0,48.0,3.9,1026.8,-18.3,33
2013-03-02 15:00:00,42.0,27.0,58.0,1000.0,50.0,4.3,1026.2,-18.0,24
2013-03-02 16:00:00,52.0,50.0,67.0,1300.0,44.0,4.1,1025.4,-16.9,42
2013-03-02 17:00:00,66.0,51.0,72.0,1200.0,38.0,3.2,1025.3,-16.0,54
2013-03-02 18:00:00,69.0,50.0,75.0,1100.0,34.0,2.2,1025.4,-15.8,63
2013-03-02 19:00:00,77.0,51.0,80.0,1200.0,28.0,1.6,1025.0,-15.4,64
