date,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,PM2.5
2013-03-01 00:00:00,8.0,6.0,28.0,400.0,52.0,-0.7,1023.0,-18.8,8
2013-03-01 01:00:00,9.0,6.0,28.0,400.0,50.0,-1.1,1023.2,-18.2,9
2013-03-01 02:00:00,6.0,7.0,19.0,400.0,55.0,-1.1,1023.5,-18.2,3
2013-03-01 03:00:00,30.0,8.0,14.0,350.0,54.5,-1.4,1024.5,-19.4,11
2013-03-01 04:00:00,13.0,9.0,15.5,300.0,54.0,-2.0,1025.2,-19.5,3
2013-03-01 05:00:00,6.0,8.0,17.0,300.0,54.0,-2.2,1025.6,-19.6,3
2013-03-01 06:00:00,3.0,10.0,21.0,300.0,52.0,-2.6,1026.5,-19.1,3
2013-03-01 07:00:00,6.0,11.0,26.0,300.0,47.0,-1.6,1027.4,-19.1,3
2013-03-01 08:00:00,10.0,14.0,39.0,400.0,36.0,0.1,1028.3,-19.2,7
2013-03-01 09:00:00,9.0,12.0,31.0,400.0,46.0,1.2,1028.5,-19.3,3
2013-03-01 10:00:00,8.0,12.0,30.0,400.0,49.0,1.9,1028.2,-19.4,3
2013-03-01 11:00:00,6.0,10.0,26.0,300.0,54.0,2.9,1028.2,-20.5,3
2013-03-01 12:00:00,9.0,11.0,22.0,300.0,57.0,3.9,1027.3,-19.7,6
2013-03-01 13:00:00,18.0,10.0,20.0,300.0,60.0,5.3,1026.2,-19.3,10
2013-03-01 14:00:00,15.0,10.0,22.0,300.0,60.0,6.0,1025.9,-19.6,10
2013-03-01 15:00:00,15.0,9.0,22.0,300.0,61.0,6.2,1025.7,-18.6,7
2013-03-01 16:00:00,22.0,10.0,25.0,300.0,59.0,5.9,1025.6,-18.1,12
2013-03-01 17:00:00,23.0,10.0,26.0,300.0,58.0,4.3,1026.3,-18.7,13
2013-03-01 18:00:00,25.0,12.0,32.0,400.0,49.0,3.1,1027.4,-18.4,11
2013-03-01 19:00:00,17.0,13.0,53.0,600.0,30.0,2.3,1028.3,-18.4,11
2013-03-01 20:00:00,19.0,14.0,55.0,500.0,28.0,1.7,1029.1,-17.3,9
2013-03-01 21:00:00,17.0,16.0,57.0,600.0,25.0,0.6,1030.1,-16.7,14
2013-03-01 22:00:00,20.0,17.0,71.0,700.0,8.0,0.9,1030.5,-17.4,15
2013-03-01 23:00:00,29.0,30.0,62.0,600.0,22.0,-0.2,1030.5,-17.4,15
2013-03-02 00:00:00,2.0,20.0,61.0,600.0,24.0,-0.4,1031.0,-17.6,15
2013-03-02 01:00:00,12.0,16.0,52.0,500.0,34.0,-1.0,1031.3,-17.3,4
2013-03-02 02:00:00,12.0,16.0,52.0,400.0,32.0,-1.5,1030.9,-16.9,12
2013-03-02 03:00:00,9.0,16.0,53.0,400.0,30.0,-1.4,1030.6,-17.6,3
2013-03-02 04:00:00,6.0,12.0,53.0,400.0,31.0,-1.5,1030.8,-17.7,3
2013-03-02 05:00:00,6.0,26.0,66.0,500.0,15.0,-1.8,1030.1,-17.5,3
2013-03-02 06:00:00,12.0,26.0,71.0,600.0,8.0,-2.5,1029.6,-17.7,4
2013-03-02 07:00:00,14.0,46.0,72.0,600.0,10.0,-1.7,1029.8,-17.0,3
2013-03-02 08:00:00,6.0,40.0,68.0,600.0,15.0,-0.4,1029.6,-17.6,3
2013-03-02 09:00:00,12.0,28.0,66.0,600.0,19.0,0.6,1029.7,-16.7,3
2013-03-02 10:00:00,10.0,31.0,72.0,600.0,14.0,1.7,1028.9,-16.3,3
2013-03-02 11:00:00,13.0,23.0,74.0,700.0,12.0,2.2,1028.2,-16.8,6
2013-03-02 12:00:00,18.0,24.0,73.0,800.0,17.0,2.7,1027.3,-16.4,16
2013-03-02 13:00:00,27.0,28.0,68.0,700.0,25.0,3.3,1025.7,-16.4,19
