date,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,PM2.5
2013-03-01 00:00:00,9,6.0,17.0,200.0,62.0,0.3,1021.9,-19.0,9
2013-03-01 01:00:00,11,7.0,14.0,200.0,66.0,-0.1,1022.4,-19.3,11
2013-03-01 02:00:00,8,5.0,16.0,200.0,59.0,-0.6,1022.6,-19.7,8
2013-03-01 03:00:00,8,3.0,16.0,250.0,47.5,-0.7,1023.5,-20.9,8
2013-03-01 04:00:00,8,3.0,12.0,300.0,36.0,-0.9,1024.1,-21.7,8
2013-03-01 05:00:00,10,4.0,8.0,200.0,64.0,-1.6,1024.7,-21.1,10
2013-03-01 06:00:00,8,6.0,13.0,300.0,61.0,-2.4,1025.4,-20.3,8
2013-03-01 07:00:00,8,8.0,20.0,300.0,54.0,-0.8,1026.7,-19.9,8
2013-03-01 08:00:00,6,9.0,23.0,300.0,50.0,0.4,1027.3,-19.4,3
2013-03-01 09:00:00,6,10.0,18.0,300.0,56.0,1.5,1027.4,-19.7,3
2013-03-01 10:00:00,6,11.0,15.0,300.0,61.0,2.1,1027.3,-21.2,3
2013-03-01 11:00:00,6,9.0,14.0,300.0,62.0,3.1,1027.2,-21.1,3
2013-03-01 12:00:00,6,8.0,10.0,300.0,67.0,4.7,1026.3,-20.6,3
2013-03-01 13:00:00,9,7.0,9.0,300.0,70.0,5.5,1025.2,-20.0,3
2013-03-01 14:00:00,14,7.0,8.0,300.0,72.0,6.6,1024.9,-19.9,3
2013-03-01 15:00:00,14,5.0,7.0,200.0,73.0,6.1,1024.7,-19.5,12
2013-03-01 16:00:00,17,7.0,9.0,300.0,72.0,5.9,1024.7,-18.8,11
2013-03-01 17:00:00,18,8.0,14.0,300.0,67.0,5.3,1025.3,-19.3,13
2013-03-01 18:00:00,18,9.0,20.0,400.0,58.0,4.1,1026.4,-19.5,10
2013-03-01 19:00:00,16,7.0,29.0,500.0,50.0,3.2,1027.2,-18.9,10
2013-03-01 20:00:00,12,6.0,29.0,500.0,47.0,2.6,1028.2,-18.8,11
2013-03-01 21:00:00,12,6.0,31.0,500.0,44.0,2.2,1029.2,-17.9,10
2013-03-01 22:00:00,13,11.0,39.0,500.0,34.0,2.0,1029.5,-18.1,10
2013-03-01 23:00:00,15,14.0,41.0,500.0,31.0,1.0,1029.6,-18.4,15
2013-03-02 00:00:00,10,11.0,35.0,400.0,39.0,0.5,1030.2,-18.3,5
2013-03-02 01:00:00,8,9.0,33.0,400.0,40.0,-0.3,1030.2,-17.5,3
2013-03-02 02:00:00,6,9.0,29.0,300.0,44.0,-1.2,1029.6,-17.0,3
2013-03-02 03:00:00,6,9.0,29.0,400.0,43.0,-2.9,1029.7,-14.9,3
2013-03-02 04:00:00,6,8.0,30.0,400.0,41.0,-2.4,1029.8,-15.5,3
2013-03-02 05:00:00,8,6.0,15.0,300.0,57.0,-1.2,1029.2,-17.9,8
2013-03-02 06:00:00,8,10.0,31.0,400.0,37.0,-1.2,1028.5,-17.9,8
2013-03-02 07:00:00,6,16.0,61.0,600.0,8.0,-1.1,1029.2,-16.1,3
2013-03-02 08:00:00,7,17.0,53.0,500.0,17.0,0.0,1028.8,-16.8,4
2013-03-02 09:00:00,11,17.0,50.0,500.0,23.0,1.1,1028.9,-16.8,4
2013-03-02 10:00:00,14,22.0,52.0,600.0,20.0,1.9,1028.4,-17.1,5
2013-03-02 11:00:00,18,20.0,61.0,1000.0,15.0,2.5,1027.5,-17.7,13
2013-03-02 12:00:00,25,19.0,47.0,700.0,29.0,3.3,1026.2,-17.6,17
2013-03-02 13:00:00,28,18.0,35.0,600.0,43.0,4.2,1024.8,-16.8,24
2013-03-02 14:00:00,27,23.0,36.0,800.0,44.0,4.1,1024.1,-16.3,18
2013-03-02 15:00:00,37,44.0,43.0,1100.0,40.0,3.9,1023.5,-15.9,34
2013-03-02 16:00:00,56,46.0,44.0,1100.0,38.0,3.8,1022.8,-15.0,42
2013-03-02 17:00:00,68,48.0,46.0,1100.0,37.0,3.1,1022.7,-14.1,56
2013-03-02 18:00:00,80,51.0,52.0,1100.0,31.0,2.6,1022.5,-13.7,56
2013-03-02 19:00:00,88,53.0,67.0,1300.0,14.0,0.6,1022.2,-12.8,64
2013-03-02 20:00:00,96,63.0,83.0,1600.0,2.0,-0.2,1022.3,-11.0,72
2013-03-02 21:00:00,118,72.0,91.0,1800.0,2.0,-0.1,1021.8,-10.9,88
2013-03-02 22:00:00,125,82.0,93.0,2000.0,2.0,-2.4,1021.3,-11.7,101
2013-03-02 23:00:00,127,70.0,92.0,2100.0,2.0,-2.3,1020.3,-12.1,108
2013-03-03 00:00:00,108,56.0,92.0,2100.0,2.0,-0.6,1019.4,-14.2,101
2013-03-03 01:00:00,93,62.0,94.0,2299.0,2.0,-0.1,1018.7,-14.5,77
2013-03-03 02:00:00,109,68.0,92.0,2600.0,2.0,-2.8,1017.3,-13.4,97
2013-03-03 03:00:00,120,75.0,89.0,2700.0,2.0,-4.4,1016.6,-11.7,107
2013-03-03 04:00:00,118,76.0,89.0,2799.0,2.0,-5.1,1015.9,-11.5,107
2013-03-03 05:00:00,109,65.0,86.0,2000.0,2.0,-5.3,1015.7,-11.2,104
2013-03-03 06:00:00,94,60.0,86.0,2000.0,2.0,-5.8,1015.6,-11.1,87
2013-03-03 07:00:00,95,69.0,86.0,2000.0,2.0,-3.2,1015.8,-10.3,86
2013-03-03 08:00:00,101,73.0,86.0,2399.0,2.0,1.7,1015.1,-12.5,84
2013-03-03 09:00:00,119,83.0,91.0,2799.0,2.0,3.8,1015.0,-12.6,88
2013-03-03 10:00:00,127,84.0,95.0,2600.0,2.0,7.2,1014.1,-12.1,91
2013-03-03 11:00:00,129,88.0,102.0,2600.0,4.0,11.1,1012.8,-11.7,93
2013-03-03 12:00:00,143,79.0,115.0,3000.0,6.0,12.7,1011.9,-12.5,101
2013-03-03 13:00:00,152,54.0,92.0,2000.0,18.0,13.7,1010.6,-11.7,110
2013-03-03 14:00:00,143,52.0,86.0,1800.0,35.0,14.7,1010.2,-12.6,92
2013-03-03 15:00:00,169,43.0,58.0,1300.0,55.0,15.0,1009.6,-12.3,114
2013-03-03 16:00:00,146,29.0,46.0,1000.0,60.0,13.6,1009.8,-9.6,95
2013-03-03 17:00:00,130,36.0,57.0,1000.0,50.0,11.6,1010.4,-8.9,77
2013-03-03 18:00:00,159,65.0,102.0,1600.0,16.0,8.6,1011.4,-8.0,84
2013-03-03 19:00:00,225,66.0,116.0,1800.0,2.0,9.6,1012.4,-12.3,123
2013-03-03 20:00:00,242,69.0,120.0,2200.0,2.0,12.1,1012.6,-13.0,150
2013-03-03 21:00:00,191,23.0,80.0,1100.0,2.0,5.1,1012.8,-12.4,147
2013-03-03 22:00:00,68,14.0,73.0,800.0,2.0,3.5,1012.9,-10.9,62
2013-03-03 23:00:00,41,20.0,89.0,1600.0,2.0,9.6,1013.8,-11.7,27
2013-03-04 00:00:00,46,21.0,85.0,2000.0,2.0,9.6,1014.8,-11.7,33
2013-03-04 01:00:00,36,31.0,73.0,1200.0,2.0,8.8,1015.6,-11.8,31
2013-03-04 02:00:00,31,10.0,25.0,500.0,44.0,7.8,1016.1,-11.6,23
2013-03-04 03:00:00,27,5.0,17.0,400.0,56.0,7.6,1015.9,-11.7,10
2013-03-04 04:00:00,16,12.0,32.0,500.0,37.0,4.8,1016.8,-12.2,8
2013-03-04 05:00:00,22,15.0,23.0,400.0,44.0,1.9,1017.4,-11.6,9
2013-03-04 06:00:00,24,18.0,32.0,600.0,33.0,1.0,1018.1,-10.5,4
2013-03-04 07:00:00,22,22.0,53.0,900.0,11.0,6.6,1019.0,-11.1,8
2013-03-04 08:00:00,28,32.0,61.0,1100.0,8.0,9.0,1019.8,-11.1,9
2013-03-04 09:00:00,29,22.0,37.0,600.0,36.0,10.7,1019.8,-12.7,12
2013-03-04 10:00:00,13,15.0,25.0,500.0,51.0,11.6,1019.7,-12.7,11
2013-03-04 11:00:00,14,11.0,19.0,400.0,60.0,13.1,1019.0,-13.0,12
2013-03-04 12:00:00,16,12.0,19.0,400.0,63.0,14.3,1018.1,-12.9,15
2013-03-04 13:00:00,16,11.0,18.0,400.0,67.0,14.5,1017.0,-13.7,13
2013-03-04 14:00:00,13,9.0,20.0,400.0,69.0,15.8,1016.1,-12.6,8
2013-03-04 15:00:00,15,11.0,25.0,400.0,67.0,15.1,1015.4,-14.2,10
2013-03-04 16:00:00,18,10.0,28.0,400.0,75.0,14.6,1015.0,-13.6,12
2013-03-04 17:00:00,26,8.0,28.0,500.0,87.0,12.8,1015.2,-11.7,23
2013-03-04 18:00:00,38,13.0,43.0,500.0,63.0,11.2,1015.7,-11.6,29
2013-03-04 19:00:00,66,16.0,65.0,700.0,32.0,9.5,1015.9,-10.6,32
2013-03-04 20:00:00,92,25.0,78.0,1100.0,14.0,7.8,1016.1,-10.6,40
2013-03-04 21:00:00,104,38.0,88.0,1399.0,4.0,6.9,1016.3,-10.4,56
2013-03-04 22:00:00,111,35.0,83.0,1399.0,7.0,6.6,1016.0,-10.2,71
2013-03-04 23:00:00,105,52.0,71.0,1399.0,87.0,4.9,1015.0,-9.7,76
2013-03-05 00:00:00,106,86.0,63.0,1300.0,87.0,5.0,1014.6,-8.9,82
2013-03-05 01:00:00,124,82.0,58.0,1300.0,87.0,3.7,1013.9,-8.4,93
2013-03-05 02:00:00,138,43.0,56.0,1399.0,87.0,2.3,1013.5,-7.9,107
2013-03-05 03:00:00,130,4.0,59.0,1599.5,87.0,-0.4,1013.0,-7.7,114
2013-03-05 04:00:00,137,5.0,66.5,1800.0,87.0,-1.1,1012.9,-8.1,125
2013-03-05 05:00:00,149,59.0,74.0,2200.0,87.0,-1.9,1012.9,-7.8,138
2013-03-05 06:00:00,145,63.0,79.0,2399.0,87.0,-0.1,1012.6,-9.0,132
2013-03-05 07:00:00,137,67.0,82.0,2799.0,87.0,2.4,1012.5,-7.5,129
2013-03-05 08:00:00,136,80.0,90.0,3399.0,87.0,7.2,1012.3,-8.8,118
2013-03-05 09:00:00,150,117.0,97.0,3100.0,87.0,9.0,1011.7,-8.6,117
2013-03-05 10:00:00,172,90.0,108.0,3000.0,87.0,10.3,1011.0,-8.9,126
2013-03-05 11:00:00,180,83.0,108.0,2600.0,87.0,11.4,1010.2,-9.0,133
2013-03-05 12:00:00,169,73.0,101.0,2000.0,25.0,13.2,1008.6,-8.7,138
2013-03-05 13:00:00,157,72.0,116.0,2100.0,87.0,14.7,1007.4,-8.1,134
2013-03-05 14:00:00,161,79.0,140.0,2399.0,87.0,15.4,1006.5,-7.5,142
2013-03-05 15:00:00,187,102.0,132.0,2200.0,87.0,15.9,1006.2,-7.1,168
2013-03-05 16:00:00,217,100.0,95.0,1700.0,87.0,14.9,1006.0,-6.7,193
2013-03-05 17:00:00,208,104.0,75.0,1500.0,78.0,11.3,1006.5,-5.7,184
2013-03-05 18:00:00,194,104.0,82.0,1500.0,78.0,11.3,1007.0,-5.7,180
2013-03-05 19:00:00,206,88.0,146.0,2200.0,78.0,6.8,1007.6,-5.9,185
2013-03-05 20:00:00,230,85.0,145.0,2299.0,78.0,5.7,1007.9,-5.6,198
2013-03-05 21:00:00,234,88.0,145.0,3100.0,78.0,4.6,1007.9,-5.5,202
2013-03-05 22:00:00,233,96.0,142.0,2700.0,78.0,4.4,1007.9,-5.4,216
2013-03-05 23:00:00,220,100.0,154.0,3399.0,78.0,7.9,1007.5,-6.6,214
2013-03-06 00:00:00,232,110.0,148.0,3100.0,78.0,4.8,1007.5,-6.2,220
2013-03-06 01:00:00,232,99.0,136.0,2799.0,78.0,2.5,1007.3,-5.6,229
2013-03-06 02:00:00,226,102.0,138.0,3000.0,78.0,2.3,1007.0,-5.4,220
2013-03-06 03:00:00,208,82.0,129.0,2600.0,78.0,3.6,1006.9,-5.6,159
2013-03-06 04:00:00,187,77.0,131.0,2799.0,78.0,4.7,1006.7,-6.0,149
2013-03-06 05:00:00,187,75.0,131.0,2799.0,78.0,4.9,1006.8,-5.5,186
2013-03-06 06:00:00,188,79.0,137.0,3000.0,78.0,5.3,1007.5,-5.7,187
2013-03-06 07:00:00,200,86.0,128.0,2700.0,78.0,6.7,1008.2,-5.6,186
2013-03-06 08:00:00,207,102.0,117.0,2799.0,78.0,7.6,1008.2,-4.8,193
2013-03-06 09:00:00,215,88.0,100.0,2299.0,78.0,8.7,1008.1,-5.6,194
2013-03-06 10:00:00,202,87.0,101.0,2600.0,78.0,9.6,1007.8,-5.1,181
2013-03-06 11:00:00,199,105.0,106.0,3000.0,78.0,11.4,1006.7,-4.3,177
2013-03-06 12:00:00,207,107.0,104.0,2600.0,78.0,12.2,1006.0,-4.5,187
2013-03-06 13:00:00,218,116.0,112.0,2700.0,78.0,13.4,1005.3,-4.3,192
2013-03-06 14:00:00,231,128.0,116.0,2799.0,78.0,14.6,1004.6,-4.2,209
2013-03-06 15:00:00,244,138.0,122.0,3200.0,78.0,14.5,1004.6,-4.3,226
2013-03-06 16:00:00,253,144.0,130.0,3299.0,78.0,13.8,1004.5,-4.0,224
2013-03-06 17:00:00,260,146.0,129.0,3299.0,67.0,12.0,1005.2,-3.8,225
2013-03-06 18:00:00,270,138.0,131.0,3200.0,8.0,8.6,1006.2,-3.6,227
2013-03-06 19:00:00,278,125.0,134.0,3500.0,8.0,6.0,1006.8,-3.7,228
2013-03-06 20:00:00,282,114.0,135.0,3700.0,8.0,4.7,1007.6,-3.3,236
2013-03-06 21:00:00,293,110.0,134.0,4400.0,8.0,5.0,1007.1,-3.1,247
2013-03-06 22:00:00,285,118.0,131.0,4700.0,8.0,6.8,1006.8,-2.9,253
2013-03-06 23:00:00,280,134.0,130.0,4799.0,8.0,5.4,1006.9,-2.9,254
2013-03-07 00:00:00,292,123.0,129.0,5299.0,8.0,5.2,1006.6,-2.9,258
2013-03-07 01:00:00,316,103.0,124.0,5200.0,8.0,3.3,1006.5,-3.1,270
2013-03-07 02:00:00,317,100.0,118.0,4500.0,8.0,2.2,1006.0,-3.1,280
2013-03-07 03:00:00,285,98.0,110.0,4099.0,8.0,1.0,1005.7,-3.5,264
2013-03-07 04:00:00,263,78.0,107.0,4799.0,8.0,0.0,1005.7,-3.6,249
2013-03-07 05:00:00,257,69.0,105.0,4799.0,8.0,-0.4,1005.7,-3.1,243
2013-03-07 06:00:00,256,61.0,104.0,5700.0,8.0,-0.3,1005.7,-2.7,243
2013-03-07 07:00:00,259,60.0,106.0,5799.0,8.0,3.6,1006.0,-0.6,240
2013-03-07 08:00:00,275,81.0,121.0,6700.0,8.0,9.4,1005.7,-0.8,249
2013-03-07 09:00:00,306,137.0,158.0,6000.0,8.0,10.1,1005.2,-1.0,262
2013-03-07 10:00:00,349,120.0,206.0,7599.0,8.0,12.8,1004.4,-0.8,292
2013-03-07 11:00:00,407,130.0,241.0,8599.0,8.0,15.6,1002.7,-2.4,327
2013-03-07 12:00:00,454,150.0,221.0,6099.0,8.0,16.1,1000.7,-2.4,389
2013-03-07 13:00:00,400,137.0,167.0,3799.0,25.0,17.2,999.3,-2.5,366
2013-03-07 14:00:00,336,99.0,110.0,3200.0,62.0,18.8,997.9,-2.8,294
2013-03-07 15:00:00,338,78.0,94.0,2600.0,70.0,18.4,996.7,-1.5,338
2013-03-07 16:00:00,274,56.0,59.0,1600.0,94.0,18.2,996.1,-1.1,190
2013-03-07 17:00:00,202,70.0,81.0,1700.0,94.0,15.1,995.8,-1.1,159
2013-03-07 18:00:00,226,73.0,117.0,1700.0,94.0,10.9,996.4,-0.6,208
2013-03-07 19:00:00,212,62.0,136.0,1500.0,2.0,10.5,996.8,-0.6,197
2013-03-07 20:00:00,190,66.0,147.0,2200.0,94.0,12.9,996.9,-2.6,153
2013-03-07 21:00:00,251,92.0,184.0,3500.0,94.0,11.0,996.8,-1.4,193
2013-03-07 22:00:00,380,103.0,191.0,4599.0,94.0,8.1,997.1,-1.4,304
